name,zero_cross_sum,zero_cross_rate_mean,chromagram_mean,mfcc_mean_global,mfcc1_mean,mfcc2_mean,mfcc3_mean,mfcc4_mean,mfcc5_mean,mfcc6_mean,mfcc7_mean,mfcc8_mean,mfcc9_mean,mfcc10_mean,mfcc11_mean,mfcc12_mean,mfcc13_mean,mfcc14_mean,mfcc15_mean,mfcc16_mean,mfcc17_mean,mfcc18_mean,mfcc19_mean,mfcc20_mean
Kibeatzer_&amp;_Nick_Ray_-_Tread_Lightly_-_Nick_Ray60,14211,0.08019984148550724,0.43210992,4.2789283,-100.47434,91.53251,0.71262836,14.975212,1.041581,18.754072,-3.6330876,12.004778,-5.414526,10.363744,-4.8567,10.230293,-1.1114542,13.775566,3.6476688,12.954599,-4.4665303,9.768273,-3.6511006,9.425379
erase_me_(feat._Ronnetta_Spencer_&amp;_Vizionvry)_-_Rxbyn70,20428,0.11543534873188406,0.53542686,4.624791,-107.490974,76.428535,-10.006991,51.219532,-4.114134,10.658173,1.8309648,16.375515,-1.5542494,21.296013,-1.3516103,14.296273,-4.2595143,6.1470647,-0.9586596,5.9093933,1.1248105,12.404919,-6.8555846,11.396345
Better_-_Square_a_Saw80,18248,0.1030867866847826,0.40637368,0.3884556,-111.75545,83.23036,5.4518127,19.06336,1.2283307,11.575356,-1.9985775,5.286651,-3.2826016,11.061828,-11.365941,6.686241,-7.04403,5.1363263,-10.757282,1.6107066,-9.159502,3.6140695,-1.2811852,10.468636
Julius_Marx_-_Vices_-_Julius_Marx90,13469,0.07605298913043479,0.364932,1.3584937,-146.79948,130.5824,-32.71316,42.0425,14.19628,12.435041,-5.6804585,0.76048255,-0.94045454,10.659944,-3.3415477,-1.6284091,-6.6894555,4.1949525,-4.341934,9.51492,1.9689811,1.8814948,-4.2651067,5.3328934
Baila_-_Alfonso_Lugo100,16086,0.09082597373188406,0.39229956,-0.37831566,-145.22229,78.85581,-4.778442,5.3330607,-13.591868,19.32866,0.59509397,16.123133,2.3245935,10.477114,-2.5222883,9.69209,-0.86752146,12.461724,0.139967,8.148893,-2.333906,4.03395,-8.560008,2.7959206
001-1046599-Los Brodies-Contigo10,11886,0.06711107336956522,0.36369133,0.21033983,-175.8368,129.13646,2.106303,25.18955,3.588327,21.873705,5.4253473,11.312565,-1.4137456,4.7267118,-11.732333,0.15233484,-12.517043,-1.1357405,-5.6504436,7.8180556,-0.35560536,6.2123437,-4.830783,0.13759533
002-120557-Leido-Whisper20,18247,0.10274994338768116,0.37477425,-5.781243,-255.19565,91.06542,-20.081104,33.94509,8.890726,17.207237,-0.4631315,-0.09914548,0.017666744,1.3559633,-0.8558278,1.7704908,-5.071617,1.6198324,-1.0798727,9.999752,-7.1441593,6.8550577,-0.36675933,2.0051715
006-168656-Kahina-ILZ30,9581,0.05408882472826087,0.3729361,2.4007308,-200.01915,108.53429,20.742245,37.87171,19.39426,18.783497,-4.9388695,20.317223,-1.7602823,4.646827,-6.364543,13.530399,-2.642531,5.122478,1.5324656,6.546316,-4.8147697,12.436703,-4.3333616,3.4297132
010-150207-Drunksouls-No more fighting40,12643,0.07137964221014492,0.30009475,-1.6823367,-196.22067,125.341835,5.3093677,23.592932,-1.6818373,16.003761,7.5795913,8.44045,-11.851705,-4.6652308,-18.082655,12.655627,3.791458,1.8805528,-3.9254405,7.595732,-2.2572389,-1.8097056,-5.6304584,0.28690347
009-112990-Natty I-Dubliftment50,8164,0.04607676630434782,0.33459568,1.1048659,-236.4734,114.654915,27.274345,39.259533,20.350788,20.669746,-1.6269113,12.988177,-0.6166105,10.348713,5.0978613,7.3449183,1.3584826,5.248907,-4.411397,3.4826462,-3.0097022,2.1211512,-3.7228968,1.758056
